facility,strain,Fraction Aligned To Target Genome,fastqc,plate,row,column,Fraction of Genome with >=0.75 Median Coverage
SAN,C3H,0.953850528,/data01/repository/do3636/do3636_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H85533.0_SAN07p1.fq_fastqc.txt.gz,1,C,9,0.942307692
SAN,C3H,0.954876405,/data01/repository/do3636/do3636_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H85533.0_SAN04p1.fq_fastqc.txt.gz,1,C,10,0.942307692
SAN,C3H,0.954304081,/data01/repository/do3636/do3636_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H85533.0_SAN08p1.fq_fastqc.txt.gz,1,C,11,0.942307692
SAN,C3H,0.952348815,/data01/repository/do3636/do3636_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H85533.0_SAN06p1.fq_fastqc.txt.gz,1,C,12,0.938461538
SAN,C3H,0.956571649,/data01/repository/do3636/do3636_unk_HCC_nodule_unk_C3HHeJC3H85533.0_SAN01p1.fq_fastqc.txt.gz,1,D,1,0.938461538
SAN,C3H,0.955112501,/data01/repository/do3636/do3636_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H85533.0_SAN05p1.fq_fastqc.txt.gz,1,D,2,0.938461538
SAN,C3H,0.952922414,/data01/repository/do3636/do3636_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H85533.0_SAN09p1.fq_fastqc.txt.gz,1,D,3,0.942307692
SAN,C3H,0.953757865,/data01/repository/do3636/do3636_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H85533.0_SAN10p1.fq_fastqc.txt.gz,1,D,4,0.942307692
SAN,C3H,0.952916454,/data01/repository/do3637/do3637_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86226.0_SAN07p1.fq_fastqc.txt.gz,1,D,5,0.942307692
SAN,C3H,0.95227433,/data01/repository/do3637/do3637_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86226.0_SAN09p1.fq_fastqc.txt.gz,1,D,6,0.942307692
SAN,C3H,0.953433817,/data01/repository/do3637/do3637_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86226.0_SAN08p1.fq_fastqc.txt.gz,1,D,7,0.938461538
SAN,C3H,0.954347175,/data01/repository/do3637/do3637_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86226.0_SAN05p1.fq_fastqc.txt.gz,1,D,8,0.942307692
SAN,C3H,0.955816034,/data01/repository/do3637/do3637_unk_HCC_nodule_unk_C3HHeJC3H86226.0_SAN01p1.fq_fastqc.txt.gz,1,D,9,0.934615385
SAN,C3H,0.954165797,/data01/repository/do3637/do3637_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86226.0_SAN04p1.fq_fastqc.txt.gz,1,D,10,0.946153846
SAN,C3H,0.95153944,/data01/repository/do3637/do3637_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86226.0_SAN06p1.fq_fastqc.txt.gz,1,D,11,0.946153846
SAN,C3H,0.95290519,/data01/repository/do3637/do3637_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86226.0_SAN10p1.fq_fastqc.txt.gz,1,D,12,0.946153846
SAN,C3H,0.952924503,/data01/repository/do3638/do3638_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H85538.0_SAN10p1.fq_fastqc.txt.gz,1,E,1,0.942307692
SAN,C3H,0.954121036,/data01/repository/do3638/do3638_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H85538.0_SAN04p1.fq_fastqc.txt.gz,1,E,2,0.942307692
SAN,C3H,0.954112124,/data01/repository/do3638/do3638_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H85538.0_SAN05p1.fq_fastqc.txt.gz,1,E,3,0.946153846
SAN,C3H,0.951390192,/data01/repository/do3638/do3638_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H85538.0_SAN06p1.fq_fastqc.txt.gz,1,E,4,0.942307692
SAN,C3H,0.952041741,/data01/repository/do3638/do3638_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H85538.0_SAN09p1.fq_fastqc.txt.gz,1,E,5,0.942307692
SAN,C3H,0.953004598,/data01/repository/do3638/do3638_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H85538.0_SAN07p1.fq_fastqc.txt.gz,1,E,6,0.938461538
SAN,C3H,0.956061534,/data01/repository/do3638/do3638_unk_HCC_nodule_unk_C3HHeJC3H85538.0_SAN01p1.fq_fastqc.txt.gz,1,E,7,0.938461538
SAN,C3H,0.953433508,/data01/repository/do3638/do3638_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H85538.0_SAN08p1.fq_fastqc.txt.gz,1,E,8,0.938461538
SAN,C3H,0.952655701,/data01/repository/do3639/do3639_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86695.0_SAN10p1.fq_fastqc.txt.gz,1,E,9,0.946153846
SAN,C3H,0.952959363,/data01/repository/do3639/do3639_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86695.0_SAN08p1.fq_fastqc.txt.gz,1,E,10,0.942307692
SAN,C3H,0.95372737,/data01/repository/do3639/do3639_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86695.0_SAN05p1.fq_fastqc.txt.gz,1,E,11,0.942307692
SAN,C3H,0.952511204,/data01/repository/do3639/do3639_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86695.0_SAN07p1.fq_fastqc.txt.gz,1,E,12,0.946153846
SAN,C3H,0.953422679,/data01/repository/do3639/do3639_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86695.0_SAN04p1.fq_fastqc.txt.gz,1,F,1,0.946153846
SAN,C3H,0.955758219,/data01/repository/do3639/do3639_unk_HCC_nodule_unk_C3HHeJC3H86695.0_SAN01p1.fq_fastqc.txt.gz,1,F,2,0.942307692
SAN,C3H,0.951319468,/data01/repository/do3639/do3639_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86695.0_SAN06p1.fq_fastqc.txt.gz,1,F,3,0.946153846
SAN,C3H,0.95178871,/data01/repository/do3639/do3639_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86695.0_SAN09p1.fq_fastqc.txt.gz,1,F,4,0.942307692
SAN,C3H,0.952649283,/data01/repository/do3640/do3640_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H86770.0_SAN09p1.fq_fastqc.txt.gz,1,F,5,0.946153846
